"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.160871,0.0010758,0.00233049,2127.75,741.5,0.250312,49,68,215378000,74816300,1000,0.101852
"Pteronotus_parnellii",0.359277,0.00162519,0.00156551,2131,737.5,0.412922,31,26,78213000,27086800,500,0.0379412
"Desmodus_rotundus",0.747385,0.00197417,0.000909261,2133.75,734.5,0.258495,15,20,50360300,17357200,500,0.0236955
"Phyllostomus_discolor",5.68457,0.000220646,1.34953e-05,2131.25,741,0.231288,8,12,21049500,7302750,100,0.0105002
"Phyllostomus_hastatus",0.397059,0.00062772,0.000546237,2133.75,737.25,0.623645,9,5,17731300,6143360,100,0.00928619
"Artibeus_jamaicensis",1.14905,0.000633244,0.000190766,2132,738,0.518484,21,14,36154500,12497000,250,0.0190481
"Sturnira_hondurensis",0.207298,0.000941812,0.00157267,2132,738,0.692422,12,6,39793400,13776900,250,0.0201251
"Molossus_molossus",0.182549,0.00206634,0.0039032,2132.25,735.25,0.172425,18,36,100474000,34648600,1000,0.0474196
"Miniopterus_natalensis",0.0847288,0.0026425,0.0107505,2133,735.25,0.219859,21,33,97853400,33807600,2500,0.0463988
"Eptesicus_fuscus",0.0917069,0.00135074,0.0051018,2127,736.75,0.434484,10,8,19839400,6895940,1000,0.0105823
"Pipistrellus_kuhlii",0.159059,0.000243839,0.000533841,2125.75,740.25,0.466844,39,29,79591700,27629500,100,0.0381086
"Myotis_brandtii",0.164991,0.00391397,0.00825804,2125.75,740,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.215738,0.00234136,0.00377709,2126.25,740,0.0870607,1,4,9780980,3406160,1000,0.00485649
"Myotis_davidii",0.162987,0.0011839,0.0025246,2126.25,739,0.115888,4,12,20679900,7189680,500,0.00980151
"Myotis_myotis",0.116497,0.000299216,0.000896974,2123.25,741.5,0.398361,8,7,11940500,4162060,250,0.0061503
"Hipposideros_armiger",0.141761,0.00530115,0.0129083,2130,735.25,0.586732,17,10,70395800,24296200,5000,0.0332282
"Rhinolophus_ferrumequinum",0.080461,0.00418658,0.0178435,2136,732.5,0.411644,6,5,23415200,8032280,5000,0.0122756
"Rhinolophus_sinicus",0.0864331,0.00346181,0.0137365,2136.5,732.75,0.755182,11,5,25529200,8763260,5000,0.0132901
"Rousettus_aegyptiacus",0.510784,0.00262118,0.00177239,2130.25,735.75,0.321784,14,15,46327000,15972100,500,0.0218276
"Pteropus_alecto",0.1515,0.00281596,0.00637496,2134.25,732,0.688422,2,1,5411760,1862790,2500,0.00268413
"Pteropus_giganteus",0.100451,0.00270861,0.00924825,2134.25,732,0.685982,2,1,2125630,729072,2500,0.00140844
"Pteropus_vampyrus",0.0991112,0.00235947,0.0081631,2134.75,732,0,0,2,2966610,1017480,2500,0.0014088
