"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.28992,10845.8,12851,0.0021345,0.00073325,0.962375,151,54,216.825,74.6226,1000,0.101852
"Pteronotus_parnellii",0.252383,5086.37,6994.41,0.002125,0.0007375,0.642524,65,35,80.0819,27.7063,500,0.0379412
"Desmodus_rotundus",0.641506,6751.72,3675.62,0.0021225,0.00074125,0.550868,35,22,48.936,16.9446,500,0.0236955
"Phyllostomus_discolor",0.236619,1472.25,2176.82,0.002123,0.00074275,0.899311,18,7,22.1607,7.75033,100,0.0105002
"Phyllostomus_hastatus",Inf,163.296,0,0.0021215,0.00074525,1.13962,13,4,18.9028,6.62831,100,0.00928619
"Artibeus_jamaicensis",0.228644,1815.62,2755.85,0.0021265,0.000738,0.558468,29,18,40.3923,14.0014,250,0.0190481
"Sturnira_hondurensis",0.764958,2639.97,1204,0.002124,0.000741,1.16894,37,11,42.6455,14.8202,250,0.0201251
"Molossus_molossus",0.286651,11552.9,13852.7,0.0021355,0.000734,0.588011,72,42,100.115,34.3401,1000,0.0474196
"Miniopterus_natalensis",0.25067,21896,30066.2,0.002131,0.0007335,0.674072,65,33,97.4841,33.3611,2500,0.0463988
"Eptesicus_fuscus",0.421734,12099.2,9997.49,0.00212425,0.00074025,0.556873,16,10,18.5104,6.44247,1000,0.0105823
"Pipistrellus_kuhlii",1.22666,1241,352.86,0.00212525,0.00074125,0.751013,82,38,80.0247,27.851,100,0.0381086
"Myotis_brandtii",0.237735,16108.7,23556.6,0.00212425,0.0007385,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.30101,9397.81,10877.3,0.002124,0.00074,0.811738,7,3,10.055,3.49802,1000,0.00485649
"Myotis_davidii",0.189976,5897.69,10803.8,0.0021235,0.000739,1.85262,16,3,19.4658,6.76177,500,0.00980151
"Myotis_myotis",0.217152,2765.03,4420.58,0.00212575,0.000738,0.764548,11,5,12.748,4.4302,250,0.0061503
"Hipposideros_armiger",0.329624,49235.5,51694.4,0.00213025,0.00073725,0.502835,32,22,69.2872,23.9525,5000,0.0332282
"Rhinolophus_ferrumequinum",0.308527,48147.1,54174.1,0.0021295,0.00073925,1.1262,13,4,25.9358,8.98737,5000,0.0122756
"Rhinolophus_sinicus",0.325343,40096.4,42798.2,0.0021295,0.0007395,0.588663,17,10,27.4494,9.50497,5000,0.0132901
"Rousettus_aegyptiacus",0.342328,5421.33,5495.79,0.0021295,0.000739,0.809408,42,18,46.2049,16.028,500,0.0218276
"Pteropus_alecto",0.353057,23323.3,22890.8,0.00213125,0.0007385,Inf,4,0,3.41812,1.18241,2500,0.00268413
"Pteropus_giganteus",0.327449,23363.1,24723.1,0.00213125,0.0007385,0,0,1,2.94326,1.01987,2500,0.00140844
"Pteropus_vampyrus",0.352514,26743.6,26288.1,0.00213125,0.0007385,NA,NA,NA,NA,NA,2500,0.0014088
