"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.54713,9707.54,6258.05,0.00212,0.00074775,0.616953,138,77,217.335,74.8158,1000,0.101852
"Pteronotus_parnellii",0.267761,4882.33,6192.93,0.00214125,0.00072725,0.53285,55,35,81.17,27.5237,500,0.0379412
"Desmodus_rotundus",0.301662,8032.77,9071.35,0.002137,0.000728,0.702519,35,17,49.7951,16.9913,500,0.0236955
"Phyllostomus_discolor",0.363875,1828.24,1748.38,0.002128,0.0007405,1.04019,18,6,22.2113,7.70131,100,0.0105002
"Phyllostomus_hastatus",0.177877,1477.28,2864.42,0.0021325,0.0007355,0.839403,17,7,16.4509,5.68603,100,0.00928619
"Artibeus_jamaicensis",0.445816,3003.71,2328.65,0.0021295,0.000736,0.90781,29,11,38.8225,13.3682,250,0.0190481
"Sturnira_hondurensis",0.114104,1700.34,5111.01,0.0021335,0.00073175,0.438659,23,18,42.7468,14.6749,250,0.0201251
"Molossus_molossus",0.2682,9844.32,12625.2,0.0021325,0.0007335,0.451453,50,38,99.8899,34.2726,1000,0.0474196
"Miniopterus_natalensis",0.292369,25237.4,29882.5,0.002134,0.00073875,0.907037,66,25,98.2619,33.7603,2500,0.0463988
"Eptesicus_fuscus",0.231433,10154,14929.1,0.00213875,0.00072775,0.612183,18,10,20.8712,7.09833,1000,0.0105823
"Pipistrellus_kuhlii",0.16266,819.866,1738.17,0.00213425,0.000736,0.952661,83,30,81.1048,27.9272,100,0.0381086
"Myotis_brandtii",0.441952,19711,15200.4,0.00213825,0.00072875,0.340542,1,1,4.8284,1.64427,5000,0.00352876
"Myotis_lucifugus",0.408604,5436.61,4532.58,0.0021385,0.0007285,0.59609,7,4,9.33928,3.18117,1000,0.00485649
"Myotis_davidii",0.223773,3216.79,4870.58,0.00214275,0.000726,0.950834,14,5,19.7834,6.71813,500,0.00980151
"Myotis_myotis",0.291569,2919.47,3405.08,0.00214075,0.000728,0.552448,13,8,12.9986,4.4191,250,0.0061503
"Hipposideros_armiger",0.318184,52186.3,55308.8,0.00214325,0.00072275,0.393554,14,12,68.5539,23.1254,5000,0.0332282
"Rhinolophus_ferrumequinum",0.320861,47434.6,49542.8,0.002144,0.0007185,1.84621,11,2,22.5161,7.55811,5000,0.0122756
"Rhinolophus_sinicus",0.362533,47109.6,43795.6,0.0021415,0.00072175,1.76485,21,4,27.9033,9.38,5000,0.0132901
"Rousettus_aegyptiacus",0.198255,3592.04,6197.58,0.0021385,0.0007315,0.664356,35,18,45.5657,15.5684,500,0.0218276
"Pteropus_alecto",0.192369,21946.1,38750.6,0.002144,0.00072825,0.566864,5,3,4.80254,1.63343,2500,0.00268413
"Pteropus_giganteus",0.286972,21754,25778.3,0.002143,0.00072875,0.681112,2,1,2.57448,0.876756,2500,0.00140844
"Pteropus_vampyrus",0.255908,23307,31028.2,0.002142,0.00072975,0.340493,1,1,1.1951,0.406922,2500,0.0014088
