"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.23402,10476.6,15564.1,0.0021285,0.00074,0.545143,136,87,214.056,74.648,1000,0.101852
"Pteronotus_parnellii",0.294644,3852.67,4563.87,0.002123,0.000741,0.581638,45,27,79.1515,27.6225,500,0.0379412
"Desmodus_rotundus",0.186762,2621.31,4928.46,0.0021245,0.000746,1.44764,33,8,48.5219,17.0284,500,0.0236955
"Phyllostomus_discolor",0.00465474,42.221,3166.9,0.0021245,0.00074175,0.573109,18,11,22.0706,7.72985,100,0.0105002
"Phyllostomus_hastatus",0.365043,1995.63,1917.58,0.0021225,0.0007445,1.20199,24,7,18.5992,6.52053,100,0.00928619
"Artibeus_jamaicensis",6.02865,1894.17,110.838,0.0021225,0.00074875,0.445686,24,19,40.3495,14.2367,250,0.0190481
"Sturnira_hondurensis",2.43353,1411.9,204.654,0.002117,0.00074675,0.796065,34,15,40.7108,14.2979,250,0.0201251
"Molossus_molossus",0.183318,9857.65,18893.9,0.00212175,0.0007455,0.547499,69,44,96.4227,33.664,1000,0.0474196
"Miniopterus_natalensis",0.23188,13272.5,19829.2,0.00212525,0.00073625,0.738981,49,23,95.7931,33.2276,2500,0.0463988
"Eptesicus_fuscus",0.260359,6047.37,8135.09,0.00211925,0.00074225,0.731219,21,10,14.3966,5.01289,1000,0.0105823
"Pipistrellus_kuhlii",0.12359,512.403,1434.16,0.00212625,0.0007355,0.90818,73,28,80.4914,28.0386,100,0.0381086
"Myotis_brandtii",0.306769,15128.4,17139.3,0.00212275,0.00073775,NA,NA,NA,NA,NA,5000,0.00352876
"Myotis_lucifugus",0.346869,9522.6,9540.01,0.002123,0.00073775,0.463651,4,3,8.86168,3.08155,1000,0.00485649
"Myotis_davidii",0.301985,2178.77,2515.75,0.0021215,0.00073975,0.985469,17,6,19.7074,6.85447,500,0.00980151
"Myotis_myotis",0.186815,3694.34,6864.84,0.0021245,0.0007375,2.42926,14,2,12.3164,4.27427,250,0.0061503
"Hipposideros_armiger",0.480299,60063.9,43868.2,0.0021195,0.0007435,0.524375,27,18,65.5657,22.9207,5000,0.0332282
"Rhinolophus_ferrumequinum",0.338284,26870.5,27802.5,0.00212275,0.000743,1.57086,27,6,25.6099,8.93994,5000,0.0122756
"Rhinolophus_sinicus",0.433647,50054.2,40395.8,0.00212375,0.00074325,1.16289,10,3,27.6333,9.64034,5000,0.0132901
"Rousettus_aegyptiacus",0.369933,5350.83,5013.1,0.00212575,0.00073675,0.619765,41,23,45.3318,15.7606,500,0.0218276
"Pteropus_alecto",0.359303,22039.2,21331.7,0.00212425,0.00073875,0.348039,3,3,1.6645,0.57931,2500,0.00268413
"Pteropus_giganteus",0.164056,14837.4,31463.3,0.00212425,0.000739,Inf,3,0,1.11301,0.387205,2500,0.00140844
"Pteropus_vampyrus",0.239345,13439.1,19571.6,0.002123,0.00074,Inf,4,0,2.11096,0.734788,2500,0.0014088
