"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.0838712,0.000919185,0.00384518,2121.25,744.25,0.217067,49,79,211466000,74005900,1000,0.101852
"Pteronotus_parnellii",0.110551,0.00106104,0.00335865,2122.5,742.75,0.393182,37,33,80068500,28078100,500,0.0379412
"Desmodus_rotundus",0.117904,0.00122664,0.00362943,2125.5,741.5,0.511819,25,17,48183000,16769500,500,0.0236955
"Phyllostomus_discolor",1.758,0.000650714,0.000130141,2121.75,746,0.702802,14,7,21697200,7624400,100,0.0105002
"Phyllostomus_hastatus",Inf,7.84196e-05,0,2124.25,744.75,1.86787,16,3,18823600,6592500,100,0.00928619
"Artibeus_jamaicensis",0.353383,0.00164985,0.00163362,2122,742.5,0.48411,18,13,40144400,14035900,250,0.0190481
"Sturnira_hondurensis",0.201124,0.000374903,0.000655225,2123,746.25,1.254,25,7,41989100,14743200,250,0.0201251
"Molossus_molossus",0.0777282,0.000885885,0.00400178,2122.5,745.25,0.32178,33,36,99867500,35056800,1000,0.0474196
"Miniopterus_natalensis",0.087404,0.00311907,0.0124352,2125.75,740.75,0.386886,31,28,98490500,34417000,2500,0.0463988
"Eptesicus_fuscus",0.0933973,0.00149861,0.00562833,2121.75,744.25,0.144358,7,17,22374800,7844230,1000,0.0105823
"Pipistrellus_kuhlii",0.0294951,4.64642e-05,0.000556071,2119.75,748.25,0.555377,60,38,79791100,28065600,100,0.0381086
"Myotis_brandtii",0.111077,0.00283587,0.00897048,2121.75,745.5,0,0,2,7411270,2604030,5000,0.00352876
"Myotis_lucifugus",0.300907,0.00244728,0.0028583,2121.25,745.5,0.0585625,1,6,7920170,2782950,1000,0.00485649
"Myotis_davidii",0.189734,0.00120611,0.00224369,2119.25,748,0.352497,10,10,19558200,6894220,500,0.00980151
"Myotis_myotis",0.0863484,0.000353523,0.00144636,2118.75,748.5,0.308166,7,8,11367700,4003600,250,0.0061503
"Hipposideros_armiger",0.0776599,0.00452248,0.0202194,2126.25,738.25,0.602174,19,11,64642400,22536100,5000,0.0332282
"Rhinolophus_ferrumequinum",0.0924913,0.00433711,0.0164793,2122.75,746,0.321958,11,12,25823200,9069780,5000,0.0122756
"Rhinolophus_sinicus",0.160442,0.00437074,0.00951418,2126,742.5,0.408952,14,12,28096500,9848660,5000,0.0132901
"Rousettus_aegyptiacus",0.151488,0.000572686,0.00131863,2127.25,742,0.61079,14,8,42929700,14983500,500,0.0218276
"Pteropus_alecto",0.0875676,0.00197538,0.00787394,2126.5,742.25,NA,NA,NA,NA,NA,2500,0.00268413
"Pteropus_giganteus",0.156247,0.0033946,0.00759201,2125.5,742.75,Inf,2,0,2236500,781235,2500,0.00140844
"Pteropus_vampyrus",0.226754,0.00392832,0.00605316,2125.75,742.75,Inf,1,0,1520450,530709,2500,0.0014088
