"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.134436,0.0013675,0.00353116,2130.25,739.5,0.309783,65,73,211264000,73500900,1000,0.101852
"Pteronotus_parnellii",0.169104,0.00201494,0.00415876,2124.5,741.5,0.436019,30,24,77293600,26961200,500,0.0379412
"Desmodus_rotundus",0.170988,0.00169607,0.00345185,2125.75,739.75,0.3896,19,17,45702300,15931400,500,0.0236955
"Phyllostomus_discolor",Inf,0.000203743,0,2128.75,739.75,0.755129,13,6,19893200,6933200,100,0.0105002
"Phyllostomus_hastatus",Inf,5.48196e-05,0,2123,745.75,1.13663,13,4,19561800,6841410,100,0.00928619
"Artibeus_jamaicensis",0.291461,0.000868107,0.00103999,2125.75,742.25,0.950912,30,11,37920200,13221600,250,0.0190481
"Sturnira_hondurensis",0.397799,0.000692065,0.000606861,2125,741.25,0.836228,24,10,41941000,14613400,250,0.0201251
"Molossus_molossus",0.166344,0.00193358,0.00401508,2131.5,736.25,0.335437,35,36,100984000,34841400,1000,0.0474196
"Miniopterus_natalensis",0.246465,0.00228801,0.00322018,2134.75,740.5,0.242424,21,30,94247300,32639700,2500,0.0463988
"Eptesicus_fuscus",0.276657,0.00161078,0.00201728,2130.75,738.25,0.253642,11,15,19718900,6820280,1000,0.0105823
"Pipistrellus_kuhlii",0.275696,0.000275574,0.000347345,2129.5,740,0.563235,57,35,78880200,27280400,100,0.0381086
"Myotis_brandtii",0.279632,0.00297862,0.00367674,2133,736.25,0,0,1,7314060,2524600,5000,0.00352876
"Myotis_lucifugus",0.122685,0.000652456,0.00183335,2134.25,735.75,0.517773,3,2,7857980,2712430,1000,0.00485649
"Myotis_davidii",0.07916,0.000662814,0.00289249,2132,736.5,0.517682,9,6,18421900,6357790,500,0.00980151
"Myotis_myotis",0.157569,0.000649686,0.00142175,2133,735.5,1.55331,9,2,12079500,4169610,250,0.0061503
"Hipposideros_armiger",0.211224,0.00371222,0.00611764,2128.75,741,0.221924,14,22,70310000,24519800,5000,0.0332282
"Rhinolophus_ferrumequinum",0.149479,0.0033039,0.00769933,2126.5,740.75,0.232212,4,6,21939600,7641970,5000,0.0122756
"Rhinolophus_sinicus",0.184777,0.00410541,0.00774632,2127.5,741.75,0.243916,7,10,23762800,8280190,5000,0.0132901
"Rousettus_aegyptiacus",0.268848,0.00106444,0.00139881,2120,749,0.56759,21,13,44562500,15657700,500,0.0218276
"Pteropus_alecto",0.13906,0.00281025,0.00708622,2122.5,744.25,NA,NA,NA,NA,NA,2500,0.00268413
"Pteropus_giganteus",0.139397,0.00277219,0.0069702,2122.75,744,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.0644355,0.00146538,0.00797073,2122.75,744,NA,NA,NA,NA,NA,2500,0.0014088
