"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.385698,3012.79,2656.34,0.0021415,0.00072825,0.768999,174,77,217.977,74.1785,1000,0.101852
"Pteronotus_parnellii",0.251735,4193.93,5652.37,0.00214575,0.000728,0.425568,44,35,80.8865,27.3817,500,0.0379412
"Desmodus_rotundus",0.133381,5038.17,12893.7,0.0021415,0.000731,0.577838,44,26,48.31,16.4954,500,0.0236955
"Phyllostomus_discolor",0.902963,1151.36,438.538,0.00214,0.000736,1.20343,21,6,22.2908,7.66441,100,0.0105002
"Phyllostomus_hastatus",1.04584,732.051,241.533,0.002138,0.00073775,1.20905,14,4,18.354,6.34025,100,0.00928619
"Artibeus_jamaicensis",2.99999,3088.72,352.88,0.002143,0.0007345,0.666037,35,18,38.3844,13.1479,250,0.0190481
"Sturnira_hondurensis",3.09305,2765.37,306.644,0.00214225,0.00073475,0.709977,29,14,42.6011,14.6014,250,0.0201251
"Molossus_molossus",0.429015,4886.05,3901.49,0.002139,0.00073275,0.72376,68,32,99.2499,33.8038,1000,0.0474196
"Miniopterus_natalensis",0.233935,9583.5,14125.1,0.0021375,0.000737,0.634335,63,34,97.4592,33.3641,2500,0.0463988
"Eptesicus_fuscus",0.4215,5707.68,4628.61,0.00214225,0.00073225,0.705329,31,15,20.5413,7.0105,1000,0.0105823
"Pipistrellus_kuhlii",1.16157,806.77,238.745,0.00213825,0.000735,0.890803,104,40,81.1726,27.8111,100,0.0381086
"Myotis_brandtii",0.573868,10958.1,6524.98,0.00213925,0.000731,1.02414,6,2,7.00582,2.39164,5000,0.00352876
"Myotis_lucifugus",0.219425,9086.9,14139.5,0.00214025,0.00073075,1.02467,9,3,6.81811,2.32877,1000,0.00485649
"Myotis_davidii",0.324092,9532.73,10064.5,0.00214,0.00073225,0.384046,9,8,14.4773,4.94219,500,0.00980151
"Myotis_myotis",0.101625,1203.9,4038.27,0.0021415,0.00073,1.08,19,6,12.6208,4.30434,250,0.0061503
"Hipposideros_armiger",0.429462,26099.7,20763.2,0.002144,0.0007325,0.494161,29,20,63.0282,21.4801,5000,0.0332282
"Rhinolophus_ferrumequinum",0.255308,33633.1,44992.2,0.002144,0.00073225,0.682393,20,10,22.7365,7.75762,5000,0.0122756
"Rhinolophus_sinicus",0.282759,35375.5,42787.2,0.002144,0.00073325,0.900332,29,11,27.682,9.45355,5000,0.0132901
"Rousettus_aegyptiacus",0.112619,3034.96,9223.2,0.002141,0.00073275,0.62467,33,18,43.8223,14.9315,500,0.0218276
"Pteropus_alecto",0.493409,22556.2,15599,0.0021445,0.00073175,NA,NA,NA,NA,NA,2500,0.00268413
"Pteropus_giganteus",0.380954,23795.3,21330.6,0.00214425,0.00073225,1.02443,3,1,1.98776,0.678776,2500,0.00140844
"Pteropus_vampyrus",0.370534,16425.4,15139.9,0.002144,0.00073225,1.36565,4,1,1.99006,0.679432,2500,0.0014088
