"species","pN_pS","Pin","Pis","Nw_sum","Sw_sum","dN_dS","dN","dS","Nw_sum.1","Sw_sum.1","taille_pop","branch_length"
"Canis_lupus",0.330191,5398.51,5711.2,0.002122,0.00074125,0.796643,154,67,213.809,74.1046,1000,0.101852
"Pteronotus_parnellii",0.429643,3861.59,3121.45,0.002125,0.000738,0.617072,50,28,79.1161,27.3394,500,0.0379412
"Desmodus_rotundus",0.131627,6307.7,16669.7,0.00212875,0.0007405,0.694577,32,16,48.0148,16.675,500,0.0236955
"Phyllostomus_discolor",1.06844,246.44,80.4833,0.00212575,0.00074175,0.523597,15,10,21.1449,7.38096,100,0.0105002
"Phyllostomus_hastatus",Inf,28.0406,0,0.002129,0.000741,0.801151,23,10,19.5097,6.79574,100,0.00928619
"Artibeus_jamaicensis",0.572287,3732.13,2287.56,0.002126,0.00074575,1.48598,34,8,39.2971,13.7399,250,0.0190481
"Sturnira_hondurensis",0.221126,1869.75,2984.09,0.0021195,0.000748,0.878373,35,14,42.4488,14.9143,250,0.0201251
"Molossus_molossus",0.649945,6536.68,3488.71,0.002134,0.00074025,0.795083,69,30,100.551,34.7593,1000,0.0474196
"Miniopterus_natalensis",0.323708,10687.8,11470.8,0.00212925,0.00073975,0.691116,52,26,97.3707,33.6472,2500,0.0463988
"Eptesicus_fuscus",0.431551,11639.5,9309.07,0.00213025,0.00073525,0.478374,18,13,15.7173,5.43022,1000,0.0105823
"Pipistrellus_kuhlii",0.140114,835.749,2045.38,0.00213175,0.000731,0.874497,84,33,78.462,26.9558,100,0.0381086
"Myotis_brandtii",0.292492,15155.7,17858.7,0.002134,0.0007355,Inf,2,0,1.36165,0.46893,5000,0.00352876
"Myotis_lucifugus",0.233183,6492.71,9608.62,0.0021335,0.00073625,2.06851,6,1,9.29076,3.203,1000,0.00485649
"Myotis_davidii",0.178171,1686.72,3276.24,0.0021325,0.000738,0.546859,19,12,20.1513,6.95993,500,0.00980151
"Myotis_myotis",0.14096,2676.59,6548.28,0.00213275,0.0007355,0.690558,14,7,12.9902,4.48526,250,0.0061503
"Hipposideros_armiger",0.298703,35027.8,40849.5,0.00212575,0.0007405,1.11466,32,10,60.7723,21.1688,5000,0.0332282
"Rhinolophus_ferrumequinum",0.362239,19349.1,18774.7,0.002121,0.0007455,0.752608,15,7,23.675,8.31505,5000,0.0122756
"Rhinolophus_sinicus",0.36602,36243.1,34698.2,0.00212175,0.0007435,0.605407,19,11,15.5679,5.45655,5000,0.0132901
"Rousettus_aegyptiacus",0.112276,1269.18,3961.65,0.0021215,0.0007435,0.513524,25,17,43.8046,15.2964,500,0.0218276
"Pteropus_alecto",0.263755,9488.83,12560.7,0.0021245,0.00074175,Inf,6,0,1.08773,0.379904,2500,0.00268413
"Pteropus_giganteus",0.342545,14305.2,14564,0.0021255,0.00074125,NA,NA,NA,NA,NA,2500,0.00140844
"Pteropus_vampyrus",0.465983,16880.4,12633.2,0.0021255,0.00074125,NA,NA,NA,NA,NA,2500,0.0014088
